id,sentence,set
s114,Bevrijdingsdag begon vannacht in Wageningen en eindigt vanavond met het traditionele 5 mei-concert op de Amstel.,3
s115,"Maar ook smaad of om iemands imago te schaden, nep nieuws willen verspreiden of paniek zaaien.",3
s116,Een premièrefeestje wordt zo ongemakkelijk als je niet eerlijk kunt zijn.,3
s117,Zijn straf wordt volgende week bekendgemaakt.,3
s118,Hij is iedereens favoriet.,3
s119,Beat Wampfler hoopt daarmee de smaak van zijn Emmentalers te veranderen.,3
s120,De regio neemt zo'n 20 procent van 's lands inkomsten voor zijn rekening.,3
s121,"Haar laatste boek, de autobiografie Dagelijks werk, verscheen kort geleden.",4
s122,Er is 850.000 dollar nodig.,4
s123,Alsof een vroege Van Gogh met een mes is bewerkt.,4
s124,Dinsdagavond liet een topman van de NVWA zich in Nieuwsuur ontvallen dat men maar beter even geen eieren kon eten.,4
s125,Een zo groot mogelijk deel van onze patiënten willen we laten terugkeren in de maatschappij.,4
s126,"Harde werkers, zwijgzaam, afstandelijk.",4
s127,"Nieuw hulpkonvooi Er is grote nood onder de bevolking van Oost-Ghouta, zeggen hulporganisaties.",4
s128,Waarschijnlijk zullen de kerken nu moeten instappen.,4
s129,Want ze kunnen niet zeggen dat ze zijn gekozen.,4
s130,Bedrijven zouden hun loonbeleid ergens moeten uitleggen.,4
s131,"Dat past helemaal niet in de filosofie van Agora, maar de school geeft wel een diploma-garantie.",4
s132,"Die poortwachtersfunctie zullen we blijven vervullen, maar we moeten nu totaalvoetbal gaan spelen en boeven gaan vangen.",4
s133,Glasvezel (of niet) Het woord is nu aan de gemeenteraden.,4
s134,Het gaat nog wel even duren voordat de persleiding hersteld is.,4
s135,"Dat er ME-busjes vlak bij de school staan, dat is allemaal geen prettig gezicht.",4
s136,Zoutwinningsbedrijven hebben te weinig aandacht voor de risico's op de lange termijn voor de omgeving.,4
s137,Een boodschap van hoop en visie.,4
s138,"Dat de organisator een aantal redacties van de vrije pers de toegang ontzegt, is zeer verwerpelijk en tegen de geest van de februaristakers.",4
s139,"De nieuwe chef van de Amerikaanse veiligheidsdiensten is bekend, zegt een lid van het overgangsteam van Donald Trump.",4
s140,Spectre toont aan dat deze twee niet samengaan.,4
s141,"Alles is zo dramatisch als je zeventien bent, dat heb ik allemaal in dat nummer gestopt.",4
s142,"De buitenstaander Als ouder, vriend(in) of leerkracht kan het moeilijk zijn om door te hebben dat er iets aan de hand is.",4
s143,Gelukkig hadden we nog betere schoenen bij ons.,4
s144,"Buijs: ""Ik zou het onderzoek graag willen herhalen, want het is alweer tien jaar geleden.",4
s145,"Het zijn aantrekkelijke, grappige poppetjes, wat natuurlijk een mooie frictie oplevert.",4
s146,Kennelijk heeft het Kremlin nu echt genoeg van hem.,4
s147,Ik zie veel te veel drank en dat is echt niet goed voor mensen.,4
s148,"Zo niet, dan zouden ze mij aandoen wat ze de mensen in het dorp aan hadden gedaan.",4
s149,"Als er zoiets gebeurt als in Rotterdam, moet je als school echt met een training komen die jongeren bij elkaar brengt.",4
s150,Je kunt het zo gek niet bedenken of het gebeurt er.,4
s151,Die druk was ook buiten de rechtbank in Seoul te voelen.,4
s152,Nederland zal daaraan blijven bijdragen waar mogelijk.,4
s153,Als gouverneur in Brazilië heeft hij fantastische dingen gedaan.,4
s154,Emissiehandel maakt het gebruik van fossiele brandstoffen duurder en dus minder aantrekkelijk.,4
s155,"Hij lag op koers om als jongste ooit de opleiding Electrical Engineering te voltooien, maar vanwege een conflict met de universiteit is het anders gelopen.",4
s156,"Anne Kox, emeritus hoogleraar in de geschiedenis van de Natuurkunde, vertelde hoe je schrijft van een man die bijna als heilige bekend staat.",4
s157,Ik denk dat we hier eerder moeten denken aan het klimaat dat je vroeger in Frankrijk onder de Loire had.,4
s158,Bestelbussen Ook eigenaren van bestelbussen moeten eraan geloven.,4
s159,Onacceptabel De toestand van de Point Blanche-gevangenis en die van de politiecellen op Sint Maarten voldoet al jaren niet aan de minimumeisen.,4
s160,"Ik denk dat veel mensen naar die bijeenkomst toe zouden gaan"", aldus de president.",4
s161,'Voor wie vooruit wil'.,5
s162,"We willen best meedenken met de consument en het milieu, maar op deze manier kunnen we het bedrijf niet leiden.",5
s163,De Tweede Kamer eist dat scholieren met psychische of lichamelijke problemen snel betere hulp krijgen.,5
s164,"In a surprising move, interior minister talks to Taliban near Kabul city on 2nd day of truce.",5
s165,"Ik realiseerde me niet alleen hoe uitgebreid de stad was, maar ook hoe welvarend"", zegt Sadr.",5
s166,Daarom is dit moment zo belangrijk.,5
s167,In de video hieronder leggen we je uit hoe we de komende jaren waarschijnlijk meer te maken gaan krijgen met klimaatvluchtelingen.,5
s168,"Het gaat om een gemêleerd gezelschap, meestal zonder papieren en recht op opvang.",5
s169,Dan is het wel handig om 'ongemerkt' al wat achter de hand te hebben.,5
s170,"Volgens de onderwijsinspectie is daar nu te weinig aandacht voor, omdat de wet niet duidelijk genoeg is.",5
s171,Met de toon kan ik nog leven.,5
s172,"Een reactie ging over de schreef, daar is aangifte van gedaan.",5
s173,Vroeger dachten we dat debriefen heel belangrijk is.,5
s174,Wij denken anders dan onze regering.,5
s175,In rapporten die Del Ponte's commissie opstelde wordt overigens de sultan Murad Brigade expliciet genoemd.,5
s176,"Je deed alles goed; je ziet er geweldig uit, je klonk geweldig.",5
s177,Elke oproep om onze nieuwskanalen te sluiten of de toegang ertoe te blokkeren is een poging om de vrijheid van meningsuiting te onderdrukken en het recht op informatie de kop in te drukken.,5
s178,We zijn klaar met deze onzin.,5
s179,En dat betekent uiteindelijk meer inkomsten.,5
s180,"Het kabinet heeft opnieuw meer tijd nodig om uit te zoeken hoe het precies zit met de informatie over het Nederlandse bombardement in Irak, waarbij zeventig burgerdoden vielen.",5
s181,Aan de komst van de vele buitenlandse toeristen zitten uiteraard ook positieve kanten.,5
s182,"Op een of andere manier blijft het gekrakeel over beloningen, opvolging, en bestuurders aan ABN Amro plakken.",5
s183,Volgens columnist Hanif is het niet voor het eerst dat zijn columns in The New York Times door de regering worden gecensureerd.,5
s184,Volgens hen maken de bonden misbruik van het stakingsrecht omdat de cao-onderhandelingen nog gaande zijn.,5
s185,"Stel, je bent een vrachtwagenchauffeur en je moet op een dag als vandaag met een lading de spekgladde weg op.",5
s186,"Dat is natuurlijk onzin, zeker bij zo'n wereldster.",5
s187,Ik denk dat iedereen gewoon op de volgende aflevering zit te wachten in deze spannende soap.,5
s188,"En ik zeg niet dat er geen mensen last van hebben, maar je kunt het niet zomaar een op een zeggen op basis van mijn onderzoek.",5
s189,Timmermans had in een interview met Die Zeit gereageerd op uitspraken van de Hongaarse premier Orbán.,5
s190,Binnen de islamitische wereld is er veel onenigheid over fatwa's.,5
s191,Daar verbieden ze ouders hun auto te parkeren of te laten draaien.,5
s192,Jeugdzorginstelling De Heldringstichting in het Gelderse Zetten is een onveilige plek voor de opgenomen jongeren.,5
s193,"Hij moet zich nu gaan bewijzen als president, daar gaat veel van afhangen.",5
s194,"Benjamin Enders (19) ""Natuurlijk ben ik erg blij met de uitkomst van deze verkiezingen.",5
s195,De veiligheidsregio gaat ervan uit dat het affakkelen nog uren en mogelijk zelfs dagen duurt.,5
s196,Daarbij gaat het om de huidige partijvoorkeur; er is niet gekeken naar stemgedrag bij eerdere verkiezingen.,5
s197,"Vinke adviseert om in dat geval speeltjes te kopen die het jachtinstinct aanwakkeren, zoals een hengel met veertjes.",5
s198,"Astrid: ""Nee joh, je moet niet van die rare dingen zeggen.",5
s199,Het zal allemaal een groot anti-Russisch complot blijven.,5
s200,Het gaat in de eerste plaats om een houding.,5
s201,"Het OM gaat over de strafrechtelijke kant, daar geef ik geen commentaar op maar het lijkt allemaal in orde.",6
s202,22.50 uur: Maarten is in Sneek!,6
s203,"Een ongelooflijke misvatting"".",6
s204,Hoe dan ook moet de overheid nu met een beter programma komen om de stikstofuitstoot te reduceren.,6
s205,En het is natuurlijk mooi om te erkennen dat honden een rol hebben in onze samenleving en van belang zijn voor veel mensen.,6
s206,"Om eraan toe te voegen dat de VS ""heel veel militaire opties"" heeft voor ingrijpen in Syrië.",6
s207,"Anti-icing NS zet extra personeel in op stations en in treinen vanwege het aangekondigde winterweer, maar waarschuwt reizigers dat het weer tot hinder kan leiden.",6
s208,In Europa is het nu een paar keer gebeurd en dat is natuurlijk ook verschrikkelijk.,6
s209,We doen het onszelf dus een beetje aan.,6
s210,Hun kinderen breken nu dat akkoord.,6
s211,"Je ziet dan wel dat als de recensies positiever zijn dan het product waar kan maken, dat het dan meer verkoopt.",6
s212,Door het voortijdig uitstappen van hogescholen wordt de mening van tienduizenden studenten niet gehoord.,6
s213,"Het is heel vreemd dat veel gebruikers al met cookies in aanraking komen, voordat ze er toestemming voor hebben gegeven.",6
s214,"Bij sommige criminelen gaat het misschien over enkele duizenden euro's, maar bij anderen heb je het over tonnen of zelfs miljoenen.",6
s215,"Zeker in deze situatie, dan ben je stapelgek.",6
s216,"Als het zulke aantallen geweest zouden zijn, dan zou het ons wel zijn opgevallen.",6
s217,Gemeinsam in Zukunft Europas investieren!,6
s218,Ik heb namelijk nooit geweten dat bij een vrachtwagen een blokkeringssysteem in werking wordt gezet in dergelijke situaties.,6
s219,"Maar"", zo zegt Jansman, ""ze doen ook heel veel goeds.",6
s220,"De twijfels over Trump klinken steeds openlijker"", zegt correspondent Arjen van der Horst.",6
s221,De officier noemde de ontkennende verklaringen van de verdachten ongeloofwaardig.,6
s222,"Uit de uitspraak op papier, die de NOS in handen heeft, blijkt dat de rechter het tegenovergestelde heeft gezegd.",6
s223,Maar het is soms ook heel praktisch.,6
s224,"Als er iemand is die zou willen dat Daphne Caruana Galizia nog leeft, dan ben ik het.",6
s225,"Ruim 15.000 toeristen zijn gestrand, onder meer op het vliegveld van Kalibo, omdat vluchten geannuleerd zijn en veerboten niet meer varen.",6
s226,Merkel zit in de lastige positie dat ze een middenweg moet zien te vinden.,6
s227,Dat er geen gewonden zijn gevallen is meer geluk dan wijsheid.,6
s228,"Wat dit onderzoek anders maakt, is dat banken nu omgekeerd werken.",6
s229,(vdb) De inval werd gedaan vanwege een verdenking van verduistering door drie ambtenaren.,6
s230,"Van Haga, lid van de VVD sinds 1982, stond op plaats 41 op de kandidatenlijst voor de Tweede Kamer.",6
s231,Van die tweehonderd worden er nu vijftig tot 75 verbouwd tot zelfstandige wooneenheden.,6
s232,"Het is een moeilijk onderwerp, maar het is belangrijk dat iedereen hier goed over nadenkt en de keuze voor 1 juli 2020 invult.",6
s233,De afgelopen jaren werden er minder bekeuringen uitgedeeld.,6
s234,"Je wilt toch geen overhaaste conclusies trekken zonder alle feiten te kennen"", vraagt hij zich af met het zuidelijke accent van de manipulatieve politicus.",6
s235,Ik wilde gewoon iets doen.,6
s236,"We moeten voor vrijheid vechten, in Europa en in de wereld.",6
s237,Het is goed dat de organisatie daar rekening mee houdt.,6
s238,Eigenaresse Claudia de Jong organiseerde de bijeenkomsten die de COR hield in het Amstel Hotel en op een boot in Rotterdam.,6
s239,Kloosterling word je niet van de ene op andere dag.,6
s240,Ik liep stiekem met maandverband onder mijn shirt de wc in Anne weet hoe het is als er op de basisschool niets is geregeld.,6
s241,"Volgens activisten gaat het om een gedwongen bekentenis, een middel dat vaker door de Iraanse autoriteiten wordt gebruikt.",7
s242,"In Benin City is voorzichtig enthousiast gereageerd op het initiatief van het Nationaal Museum van Wereldculturen, zegt correspondent Bram Vermeulen.",7
s243,Toto is het niet altijd eens met de meningen die gegeven worden en wij vinden lang niet iedere grap smaakvol of geslaagd.,7
s244,Als er dan wel iemand op bezoek komt dan zou ik denken dat alle alarmbellen af gaan.,7
s245,"De noordelijke provincies waren ook in meerderheid tegen, terwijl het oosten en zuiden ongeveer gelijk voor en tegen stemden.",7
s246,"Dus niet meer alleen aardgas transporteren, maar ook waterstof en CO2.",7
s247,Later herhaalde hij in een rechtstreeks uitgezonden tv-interview dat hij niet opgeeft.,7
s248,"Als het dan gaat regenen, wordt alles zacht"", zegt NOS-correspondent Koert Lindijer.",7
s249,"Uitspraken als deze komen haar vaker op kritiek te staan, vooral in de LGBT-gemeenschap.",7
s250,"Ik zie ernaar uit om de rest van mijn leven in nederigheid en vredelievendheid te leven, God te eren en mijn familie te beschermen.",7
s251,Die gelegenheid is er blijkbaar en dat ligt met name aan de coördinerende partijen zoals de opdrachtgever.,7
s252,Het draaide om eenvoud.,7
s253,"Ook de manier waarop de Tweede Kamer is geïnformeerd is slecht, vindt de oppositie.",7
s254,Een auto heeft de ballon opgehaald en toen zijn we weer verder gegaan met voetballen.,7
s255,Ander nieuws uit de nacht: • Twee doden en meer dan 700 gewonden bij Palestijnse rellen: De betogers zijn boos over de Amerikaanse erkenning van Jeruzalem als hoofdstad van Israël.,7
s256,"Sociale huurders zijn een belemmering voor ze"", zegt George, die meeloopt in de stille tocht.",7
s257,Maar het is ook wel fijn als je een beetje karakter kan meegeven.,7
s258,"Hij is van plan om de kosten van de mestzak, zo'n 150.000 euro, te verhalen op de NAM.",7
s259,Dat kan in Nederland bij verstek.,7
s260,"Dit is ontzettend sneu en jammer voor iedereen, maar we kunnen mensen niet blootstellen aan dit soort omstandigheden,"" zegt voorzitter van Stichting Holi Samen Den Haag, Amar Soekhlal.",7
s261,Noord-Korea en Venezuela Een deel van het gesprek ging over Noord-Korea.,7
s262,"Structureel geweld Aanwezigen reageerden positief op het boek, dat vol staat met getuigenverklaringen die er op wijzen dat Nederland structureel geweld gebruikte, maar ook sympathiseerde met de dikwijls onvoldoende opgeleide, piepjonge soldaten.",7
s263,Na publicatie kunnen we er meer over zeggen.,7
s264,"We herdenken de oorlogsslachtoffers, dat is heel erg belangrijk.",7
s265,De woordvoerster zegt dat mensen de zomervakantie als een must zien.,7
s266,"Daarom komen er landelijk onderzoeken van 'expertteams' naar waarom er relatief veel slachtoffers vallen op bepaalde rotondes en kruispunten met verkeerslichten, terwijl die 'op papier' veilig zijn.",7
s267,"Het is letterlijk bij kop en kont pakken en als je niet wilt, komt de politie.",7
s268,Dan mag er best wat aandacht voor de Brainport zijn.,7
s269,Mensen zijn het blijkbaar toch wel eens met alles wat wij gedaan hebben.,7
s270,Een groot politiek schandaal in Den Haag deze week: minister Zijlstra van Buitenlandse Zaken geeft maandag in de Volkskrant toe dat hij heeft gelogen over een ontmoeting met de Russische president Poetin.,7
s271,Een man in een rolstoel speelt een tango op zijn bandoneon.,7
s272,Zij wordt verdacht van het medeplegen van witwassen.,7
s273,"Als je zo'n product hebt, waarom zou je dan niet hoog inzetten en het beschikbaar maken voor de hele wereld?",7
s274,Na de kus op de trappen van de kapel is het echtpaar begonnen aan een koetsrit door Windsor.,7
s275,De sector is volgens hem nog te veel bezig met hoe je mensen kunt genezen en minder met de risico's van bepaalde technologie.,7
s276,Ik denk dat we allemaal positief verrast zijn geweest.,7
s277,De negen veroordeelden waren vermoedelijk leden van de Moslimbroederschap.,7
s278,En ik ben heel opgelucht.,7
s279,"Natuurlijk moet je wel de waarheid opschrijven, maar je mag best een beetje prikkelen.",7
s280,Zeker 22 van haar schoolgenoten zijn omgekomen.,7
s281,"Maar nu is het het hele jaar, lijkt wel.",8
s282,"Als het gaat om deze cliënt, moeten we toch concluderen dat er een patroon lijkt te bestaan van het onthouden van rechten.",8
s283,"Wij willen 49 procent van de uitstoot reduceren, tegenover de 40 procent die in Europa is afgesproken.",8
s284,Sommige nabestaanden houden de Saudische regering medeverantwoordelijk voor de aanslagen en zijn rechtszaken begonnen om schadevergoedingen af te dwingen.,8
s285,Labour-partij tot op het bot verdeeld De sociaaldemocratie in Europa zit in een crisis.,8
s286,Dat maakt het werk voor de radio zo leuk.,8
s287,Tristan van der Vlis schoot in april 2011 zes mensen dood in winkelcentrum De Ridderhof.,8
s288,Maar dat is niet onze schuld.,8
s289,Backstop Barclay waarschuwt dat het Verenigd Koninkrijk afstevent op een no-deal-brexit als er geen nieuwe gesprekken volgen.,8
s290,Syrië heeft vannacht raketten afgevuurd op Israëlische gevechtsvliegtuigen.,8
s291,"Er zijn daar veel corrupte douane-beambten"", aldus de misdaadjournalist.",8
s292,"Ze hebben ons de hemel op aarde beloofd met mooie foto's, maar in het echt ziet het er allemaal veel minder uit.",8
s293,In 2006 werd hij ook al eens gelauwerd.,8
s294,"Het gaat, ook in dit liveblog, veel over de partijkopstukken, maar het grootste deel van het campagnewerk wordt gedaan door andere partijleden.",8
s295,Wij willen én moeten blijven samenwerken.,8
s296,De daling komt volgens Reporters Without Borders doordat journalisten enkele keren geweigerd werden bij bijeenkomsten waar gesproken werd over de komst van asielzoekerscentra.,8
s297,"Een deel van de ouders zal die vandaag ontvangen, een ander deel begin volgende week.",8
s298,Hij woont bijna 10 jaar in Italië en is vaak over de Morandi-brug gereden.,8
s299,"Als er iemand vindt dat hij gebaat is bij chaos, dan is het Trump.",8
s300,"In Luxemburg, omdat daar de EU-ministers van Buitenlandse Zaken bij elkaar waren om een gemeenschappelijk antwoord te vinden op de gifgasaanval, die het leger van Assad uitvoerde op de burgers in Douma.",8
s301,"De loonstijging is lager dan verwacht werd op Prinsjesdag, maar volgens minister Koolmees gaan veruit de meeste Nederlanders er toch op vooruit.",8
s302,Een obstakel dat tijdens elke missie overwonnen moet worden door de koeriers van Louise de Bettignies.,8
s303,"Natuurlijk moest er water bij de wijn worden gedaan, maar dat heb je met partners die van zo ver moeten komen.",8
s304,Nog eens 1.116.000 mensen bekeken de uitzending op RTL4.,8
s305,Het zal niets veranderen aan het Songfestival.,8
s306,"Dat was fout, en ik heb er enorme spijt van.",8
s307,"Toen ik hiernaartoe kwam dacht ik dat het een beetje truttige, suffige stad was, met alleen maar mensen die van klassieke muziek houden.",8
s308,Maar ook de discussie erachter wordt als irritant ervaren.,8
s309,"Honderdduizend vluchtelingen zouden worden verdeeld over Europa, werd twee jaar geleden afgesproken.",8
s310,De vrouwen reageerden afkeurend op de sportkleding van de poppen.,8
s311,Het is gevaarlijk werk.,8
